branch,sub_branch,region,year,firm,firm_inception_year,event_type,target,round_or_event,amount_usd,role,notes,source_url
"investing in AI","venture capital","US",1972,"Sequoia Capital",1972,"firm_inception","","Firm founded","","","Global venture firm with major AI positions across models and applications.","https://www.sequoiacap.com/"
"investing in AI","venture capital","US",1976,"Menlo Ventures",1976,"firm_inception","","Firm founded","","","Longstanding venture firm with active AI enterprise exposure.","https://menlovc.com/"
"investing in AI","venture capital","US",1977,"New Enterprise Associates (NEA)",1977,"firm_inception","","Firm founded","","","Large multi-stage venture firm active in AI infrastructure and applications.","https://www.nea.com/"
"investing in AI","venture capital","US",1980,"Institutional Venture Partners (IVP)",1980,"firm_inception","","Firm founded","","","Growth-stage technology investor active in AI financings.","https://www.ivp.com/"
"investing in AI","venture capital","US",1983,"Accel",1983,"firm_inception","","Firm founded","","","Global venture firm with significant exposure to data, AI, and developer infrastructure.","https://www.accel.com/"
"investing in AI","venture capital","US",1995,"Benchmark",1995,"firm_inception","","Firm founded","","","Concentrated partnership model with notable AI bets in chips and software.","https://www.benchmark.com/"
"investing in AI","venture capital","US",1995,"Insight Partners",1995,"firm_inception","","Firm founded","","","Large software-focused growth investor increasingly active in enterprise AI.","https://www.insightpartners.com/"
"investing in AI","venture capital","US",1999,"Coatue",1999,"firm_inception","","Firm founded","","","Crossover technology investor active in large late-stage AI rounds.","https://www.coatue.com/"
"investing in AI","venture capital","US",2000,"General Catalyst",2000,"firm_inception","","Firm founded","","","Global investment firm active from seed through growth in AI.","https://www.generalcatalyst.com/"
"investing in AI","venture capital","US",2000,"Lightspeed Venture Partners",2000,"firm_inception","","Firm founded","","","Global multi-stage venture firm with heavy AI activity.","https://lsvp.com/"
"investing in AI","venture capital","US",2004,"Khosla Ventures",2004,"firm_inception","","Firm founded","","","Vinod Khosla's firm; early and aggressive AI investor.","https://www.khoslaventures.com/"
"investing in AI","venture capital","US",2005,"Founders Fund",2005,"firm_inception","","Firm founded","","","Frontier-technology investor with major positions in AI.","https://foundersfund.com/"
"investing in AI","venture capital","US",2009,"Andreessen Horowitz (a16z)",2009,"firm_inception","","Firm founded","","","One of the most visible AI investors globally across models, apps, and infrastructure.","https://a16z.com/"
"investing in AI","venture capital","US",2009,"GV",2009,"firm_inception","","Firm founded","","","Alphabet's venture arm, active across AI tooling and enterprise software.","https://www.gv.com/"
"investing in AI","venture capital","US",2009,"Salesforce Ventures",2009,"firm_inception","","Firm founded","","","Corporate venture arm with active enterprise-AI exposure.","https://ventures.salesforce.com/"
"investing in AI","venture capital","US",2009,"Thrive Capital",2009,"firm_inception","","Firm founded","","","Growth-oriented venture firm with major concentration in OpenAI and AI leaders.","https://thrivecap.com/"
"investing in AI","venture capital","US",2016,"Benchmark",1995,"investment","Cerebras","Series A","27000000","lead","Benchmark led Cerebras' Series A, an early major AI compute bet.","https://techcrunch.com/2026/02/06/benchmark-raises-225m-in-special-funds-to-double-down-on-cerebras/"
"investing in AI","venture capital","US",2019,"Khosla Ventures",2004,"investment","OpenAI","First outside VC investment","50000000","lead","Khosla was the first outside VC investor in OpenAI's for-profit entity.","https://www.theinformation.com/briefings/khosla-ventures-raises-405-million-to-invest-in-openai-round"
"investing in AI","venture capital","US",2019,"Accel",1983,"investment","Scale AI","Series C","100000000","participant","Accel participated in Scale AI's $100M round.","https://techcrunch.com/2019/07/24/scale-ai-raises-100m-series-c-led-by-founders-fund/"
"investing in AI","venture capital","US",2019,"Founders Fund",2005,"investment","Scale AI","Series C","100000000","lead","Founders Fund led Scale AI's $100M Series C.","https://techcrunch.com/2019/07/24/scale-ai-raises-100m-series-c-led-by-founders-fund/"
"investing in AI","venture capital","US",2021,"Greylock",1965,"investment","Cresta","Series B","50000000","participant","Greylock backed Cresta as contact-center AI moved into deployment.","https://cresta.com/company/news/cresta-raises-50m-series-b"
"investing in AI","venture capital","US",2023,"Andreessen Horowitz (a16z)",2009,"investment","Character.AI","Series A","150000000","lead","a16z led Character.AI's breakout early round.","https://techcrunch.com/2023/03/23/character-ai-raises-150-million-from-andreessen-horowitz-at-1-billion-valuation/"
"investing in AI","venture capital","US",2023,"Andreessen Horowitz (a16z)",2009,"investment","Mistral AI","Series A","415000000","lead","a16z led Mistral's large early financing.","https://a16z.com/announcement/investing-in-mistral/"
"investing in AI","venture capital","US",2023,"Sequoia Capital",1972,"investment","Harvey","Series A","21000000","lead","Sequoia led Harvey's early legal-AI financing.","https://www.harvey.ai/blog/series-a"
"investing in AI","venture capital","US",2023,"General Catalyst",2000,"investment","Adept","Series B","350000000","lead","General Catalyst led Adept's $350M Series B.","https://www.adept.ai/press/press-release-series-b/"
"investing in AI","venture capital","US",2023,"Lightspeed Venture Partners",2000,"investment","Sarvam AI","Series A","41000000","lead","Lightspeed co-led one of India's highest-profile early generative-AI rounds.","https://economictimes.indiatimes.com/tech/funding/ai-startup-sarvam-raises-41-million-from-lightspeed-peak-xv-khosla/articleshow/105065658.cms"
"investing in AI","venture capital","US",2023,"Khosla Ventures",2004,"investment","Sarvam AI","Series A","41000000","participant","Khosla participated in Sarvam AI's early round.","https://economictimes.indiatimes.com/tech/funding/ai-startup-sarvam-raises-41-million-from-lightspeed-peak-xv-khosla/articleshow/105065658.cms"
"investing in AI","venture capital","US",2023,"Menlo Ventures",1976,"investment","Anthropic","Funding round","450000000","participant","Menlo was reported among Anthropic's backers in 2023.","https://www.nytimes.com/2023/05/23/technology/anthropic-google-ai-funding.html"
"investing in AI","venture capital","US",2024,"Sequoia Capital",1972,"investment","Fireworks AI","Series B","52000000","lead","Sequoia led Fireworks AI's 2024 financing.","https://fireworks.ai/blog/fireworks-ai-series-b-compound-ai"
"investing in AI","venture capital","US",2024,"Sequoia Capital",1972,"investment","Sierra","Series A","110000000","co_lead","Sierra raised $110M from Sequoia and Benchmark.","https://www.scmp.com/tech/big-tech/article/3284258/openai-chairs-ai-start-sierra-gets-us45-billion-valuation-latest-funding-round"
"investing in AI","venture capital","US",2024,"Benchmark",1995,"investment","Sierra","Series A","110000000","co_lead","Benchmark co-backed Sierra's large first financing.","https://www.scmp.com/tech/big-tech/article/3284258/openai-chairs-ai-start-sierra-gets-us45-billion-valuation-latest-funding-round"
"investing in AI","venture capital","US",2024,"Andreessen Horowitz (a16z)",2009,"investment","xAI","Series B","6000000000","participant","a16z participated in xAI's $6B round.","https://x.ai/news/series-b"
"investing in AI","venture capital","US",2024,"Sequoia Capital",1972,"investment","xAI","Series B","6000000000","participant","Sequoia participated in xAI's $6B round.","https://x.ai/news/series-b"
"investing in AI","venture capital","US",2024,"Lightspeed Venture Partners",2000,"investment","xAI","Series B","6000000000","participant","Lightspeed participated in xAI's $6B round.","https://x.ai/news/series-b"
"investing in AI","venture capital","US",2024,"General Catalyst",2000,"investment","Mistral AI","Series B","643700000","lead","General Catalyst led Mistral's EUR600M round.","https://www.reuters.com/world/europe/mistral-ai-raises-600-mln-euros-led-by-general-catalyst-2024-06-11/"
"investing in AI","venture capital","US",2024,"Institutional Venture Partners (IVP)",1980,"investment","Perplexity","Funding round","500000000","lead","IVP led Perplexity's late-2024 financing.","https://www.cnbc.com/2024/12/13/perplexity-closes-500-million-funding-round-at-9-billion-valuation-source-says.html"
"investing in AI","venture capital","US",2024,"New Enterprise Associates (NEA)",1977,"investment","Together AI","Series B","106000000","participant","NEA participated in Together AI's 2024 financing.","https://www.together.ai/blog/series-b"
"investing in AI","venture capital","US",2024,"Salesforce Ventures",2009,"investment","Together AI","Series B","106000000","lead","Salesforce Ventures co-led Together AI's $106M Series B.","https://www.together.ai/blog/series-b"
"investing in AI","venture capital","US",2024,"Thrive Capital",2009,"investment","Databricks","Funding round","10000000000","participant","Thrive participated in Databricks' massive AI-era financing.","https://www.databricks.com/company/newsroom/press-releases/databricks-announces-10b-series-j-financing"
"investing in AI","venture capital","US",2024,"Insight Partners",1995,"investment","Databricks","Funding round","10000000000","participant","Insight joined Databricks' $10B financing.","https://www.databricks.com/company/newsroom/press-releases/databricks-announces-10b-series-j-financing"
"investing in AI","venture capital","US",2024,"Coatue",1999,"investment","Databricks","Funding round","10000000000","participant","Coatue joined Databricks' $10B financing.","https://www.databricks.com/company/newsroom/press-releases/databricks-announces-10b-series-j-financing"
"investing in AI","venture capital","US",2024,"GV",2009,"investment","Metaview","Series B","35000000","lead","GV led Metaview's $35M Series B.","https://www.gv.com/news/metaview-the-ai-hiring-tool-is-transforming-recruitment"
"investing in AI","venture capital","US",2024,"Bessemer Venture Partners",1911,"investment","DeepL","Funding round","300000000","participant","Bessemer participated in DeepL's 2024 financing.","https://www.deepl.com/en/blog/deepl-series-c-funding"
"investing in AI","venture capital","US",2025,"Sequoia Capital",1972,"investment","Harvey","Series D","300000000","lead","Sequoia led Harvey's $300M Series D.","https://www.harvey.ai/brand/blog/harvey-raises-series-d"
"investing in AI","venture capital","US",2025,"Andreessen Horowitz (a16z)",2009,"investment","Harvey","Funding round","160000000","lead","a16z led Harvey's late-2025 financing.","https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/"
"investing in AI","venture capital","US",2025,"Lightspeed Venture Partners",2000,"investment","Anthropic","Series F","3500000000","lead","Lightspeed led Anthropic's $3.5B round.","https://www.cnbc.com/2025/02/24/anthropic-closes-in-on-3point5-billion-funding-round-.html"
"investing in AI","venture capital","US",2025,"General Catalyst",2000,"investment","Anthropic","Series F","3500000000","participant","General Catalyst participated in Anthropic's $3.5B financing.","https://www.cnbc.com/2025/02/24/anthropic-closes-in-on-3point5-billion-funding-round-.html"
"investing in AI","venture capital","US",2025,"Bessemer Venture Partners",1911,"investment","Anthropic","Series F","3500000000","participant","Bessemer participated in Anthropic's 2025 financing.","https://www.cnbc.com/2025/02/24/anthropic-closes-in-on-3point5-billion-funding-round-.html"
"investing in AI","venture capital","US",2025,"Menlo Ventures",1976,"investment","Anthropic","Series F","3500000000","participant","Menlo participated in Anthropic's 2025 financing.","https://www.cnbc.com/2025/02/24/anthropic-closes-in-on-3point5-billion-funding-round-.html"
"investing in AI","venture capital","US",2025,"Salesforce Ventures",2009,"investment","Anthropic","Series F","3500000000","participant","Salesforce Ventures participated in Anthropic's 2025 financing.","https://www.cnbc.com/2025/02/24/anthropic-closes-in-on-3point5-billion-funding-round-.html"
"investing in AI","venture capital","US",2025,"Thrive Capital",2009,"investment","OpenAI","Funding round","40000000000","participant","Thrive participated in OpenAI's $40B financing.","https://openai.com/index/openai-raises-40-billion/"
"investing in AI","venture capital","US",2025,"Coatue",1999,"investment","OpenAI","Funding round","40000000000","participant","Coatue participated in OpenAI's $40B financing.","https://openai.com/index/openai-raises-40-billion/"
"investing in AI","venture capital","US",2025,"Founders Fund",2005,"investment","OpenAI","Funding round","40000000000","participant","Founders Fund participated in OpenAI's $40B financing.","https://openai.com/index/openai-raises-40-billion/"
"investing in AI","venture capital","US",2025,"Salesforce Ventures",2009,"investment","Cohere","Series E","500000000","participant","Salesforce Ventures participated in Cohere's 2025 financing.","https://cohere.com/blog/series-e-funding"
"investing in AI","venture capital","US",2026,"Khosla Ventures",2004,"investment","Emergent","Series B","70000000","co_lead","Khosla co-led Emergent's $70M Series B.","https://www.morningstar.com/news/business-wire/20260120852493/emergent-raises-70m-from-khosla-ventures-and-softbank-vision-fund-2-to-enable-anyone-to-turn-ideas-into-monetizable-software"
"investing in AI","venture capital","US",2026,"Benchmark",1995,"investment","Cerebras","Growth financing","225000000","participant","Benchmark reportedly added at least $225M in Cerebras' 2026 financing via special vehicles.","https://techcrunch.com/2026/02/06/benchmark-raises-225m-in-special-funds-to-double-down-on-cerebras/"
